char,dialog,i,a,g,r,d,o,l,h,c
ORCS,"['march', 'march', 'march', 'march', 'march']",,,,,,,,,
GIMLI,[],,,,,,,,,
FRODO,"['noth', 'dream']",,,,,,,,,
GOLLUM,"['hide', 'hide']",,,,,,,,,
FRODO,"['look', 'sam', 'keep', 'go']",,,,,,,,,
DENETHOR,"['yes', 'wish']",,,,,,,,,
FARAMIR,"['would', 'done', 'number']",,,,,,,,,
GIMLI,"['bad', 'idea', 'handi', 'tight', 'spot', 'lad', 'despit', 'fact', 'dead']",,,,,,,,,
MERRY,['pippin'],,,,,,,,,
ORC,"['let', 'put', 'maggot', 'hole', 'belli']",,,,,,,,,
FRODO,['talk'],,,,,,,,,
CROWD,['gondor'],,,,,,,,,
FARAMIR,['mani'],,,,,,,,,
SAM,"['see', 'villain']",,,,,,,,,
ARWEN,"['hon', 'mabathon', 'rochon', 'ellint', 'im']",,,,,,,,,
GANDALF,"['dark', 'took', 'stray', 'thoughtand', 'time']",,,,,,,,,
FRODO,"['go', 'sam']",,,,,,,,,
GANDALF,"['one', 'choic', 'must', 'face', 'long', 'dark', 'moria', 'guard', 'older', 'fouler', 'thing', 'orc', 'deep', 'place', 'world']",,,,,,,,,
SAM,"['catch', 'grab', 'mr', 'frodo']",,,,,,,,,
MERRY,['yes'],,,,,,,,,
SAM,"['stop', 'leav', 'alon', 'understand', 'got', 'destroy', 'go', 'mordor', 'mountain', 'fire']",,,,,,,,,
FRODO,"['yes', 'smell', 'alon']",,,,,,,,,
PIPPIN,"['oh', 'sorri', 'die']",,,,,,,,,
GANDALF,"['deep', 'breath', 'plung']",,,,,,,,,
OLD MAN,['fire'],,,,,,,,,
GANDALF,"['wizard', 'never', 'late', 'frodo', 'baggin', 'earli', 'arriv', 'precis', 'mean']",,,,,,,,,
ARWEN,['say'],,,,,,,,,
GOLLUM,"['leav', 'never', 'come', 'back']",,,,,,,,,
FRODO,"['ring', 'brought', 'gollum', 'unnatur', 'long', 'life', 'five', 'hundr', 'year', 'poison', 'mind', 'gloom', 'gollum', 'cave', 'wait', 'dark', 'crept', 'back', 'forest', 'world', 'rumour', 'grew', 'shadow', 'east', 'whisper', 'nameless', 'fear', 'ring', 'power', 'perceiv', 'time', 'come', 'abandon', 'gollum', 'someth', 'happen', 'ring', 'intend', 'pick', 'unlik', 'creatur', 'imagin']",,,,,,,,,
ARAGORN,"['gondor', 'call', 'aid']",,,,,,,,,
ARAGORN,"['said', 'would', 'bind', 'foresak', 'immort', 'life', 'peopl']",,,,,,,,,
ORC,"['go', 'breather']",,,,,,,,,
SAM,['frodo'],,,,,,,,,
ARAGORN,['herio'],,,,,,,,,
FRODO,"['special', 'littl', 'bit', 'home']",,,,,,,,,
GOLLUM,"['come', 'must', 'go', 'time']",,,,,,,,,
SAM,"['touch', 'come', 'finish']",,,,,,,,,
SARUMAN,"['hors', 'men', 'took', 'land', 'drove', 'peopl', 'hillsto', 'scratch', 'live', 'rock']",,,,,,,,,
GIMLI,"['tell', 'happenedand', 'eas', 'pass']",,,,,,,,,
GRIMA,"['helm', 'deep', 'one', 'weak', 'outer', 'wall', 'solid', 'rock', 'small', 'culvertat', 'base', 'littl', 'drain']",,,,,,,,,
PIPPIN,['aaaaaaaagh'],,,,,,,,,
LEGOLAS,"['thirti', 'three', 'thirti', 'four']",,,,,,,,,
ARWEN,"['ranger', 'caught', 'guard']",,,,,,,,,
PIPPIN,['alright'],,,,,,,,,
GIMLI,"['friend', 'home', 'cousin', 'balin', 'call', 'mine']",,,,,,,,,
SAM,"['thought', 'dead']",,,,,,,,,
BILBO,"['hobbit', 'four', 'hobbit', 'shire', 'talk', 'busi', 'bring', 'bree']",,,,,,,,,
GANDALF,"['lie', 'balin', 'son', 'fundin', 'lord', 'moria', 'dead', 'fear']",,,,,,,,,
GANDALF,"['theoden', 'king', 'stand', 'alon']",,,,,,,,,
GANDALF,"['weather', 'world', 'devic', 'sauron', 'make', 'broil', 'fume', 'send', 'ahead', 'host', 'orc', 'mordor', 'love', 'daylight', 'cover', 'face', 'sun', 'eas', 'passag', 'along', 'road', 'war', 'shadow', 'mordor', 'reach', 'citi', 'begin']",,,,,,,,,
FRODO,"['worri', 'sam', 'rosi', 'know', 'idiot', 'see', 'one']",,,,,,,,,
MERRY,['tree'],,,,,,,,,
FRODO,"['leav', 'someoneto', 'follow', 'us']",,,,,,,,,
GOLLUM,"['master', 'master', 'look', 'us', 'master', 'hurt', 'us']",,,,,,,,,
EOMER,"['aim', 'head']",,,,,,,,,
FARAMIR,"['old', 'sewer', 'run', 'right', 'river', 'edg', 'citi', 'find', 'cover', 'wood']",,,,,,,,,
EOMER,"['stay', 'forest', 'keep', 'away', 'tree']",,,,,,,,,
FIGWIT,"['ladi', 'arwen', 'cannot', 'delay', 'ladi']",,,,,,,,,
GIMLI,"['seventeen', 'eighteen', 'nineteen', 'twenti', 'twenti', 'one']",,,,,,,,,
SAM,"['eye', 'open', 'mistak']",,,,,,,,,
DENETHOR,"['rule', 'gondor', 'mine', 'other']",,,,,,,,,
SAM,"['mr', 'frodo']",,,,,,,,,
SAM,['go'],,,,,,,,,
LEGOLAS,"['kinsmen', 'may', 'need', 'ride', 'war', 'fear', 'war', 'alreadi', 'march', 'land']",,,,,,,,,
THEODEN,"['aragorn', 'fall', 'back', 'keep', 'get', 'men']",,,,,,,,,
TREEBEARD,[],,,,,,,,,
GOLLUM,"['tater', 'precious', 'tater', 'eh']",,,,,,,,,
FRODO,"['wish', 'ring', 'never', 'come', 'wish', 'none', 'happen']",,,,,,,,,
GOLLUM,[],,,,,,,,,
ARAGORN,"['disturb', 'water']",,,,,,,,,
BILBO,"['caught', 'bit', 'unprepar', 'afraid', 'urm', 'got', 'cold', 'chicken', 'bit', 'pickl', 'oh', 'chees', 'oh', 'wont', 'urm', 'got', 'raspberri', 'jam', 'appl', 'tart', 'much', 'after', 'oh', 'right', 'found', 'spong', 'cake', 'make', 'egg', 'oh', 'gandalf']",,,,,,,,,
GOLLUM,"['master', 'rest', 'master', 'need', 'keep', 'strength']",,,,,,,,,
ROHAN HORSEMAN,"['mordor', 'pay']",,,,,,,,,
GIMLI,"['ah', 'wall', 'moria']",,,,,,,,,
ARAGORN,"['sword', 'sword']",,,,,,,,,
GANDALF,"['veil', 'shadow', 'glower', 'east', 'take', 'shape', 'sauron', 'suffer', 'rival', 'summit', 'barad', 'durhi', 'eye', 'watch', 'ceaseless', 'mighti', 'yetthat', 'fear', 'doubt', 'ever', 'gnaw', 'rumor', 'reach', 'heir', 'numenor', 'still', 'live']",,,,,,,,,
FARAMIR,"['good', 'speech', 'nice', 'short']",,,,,,,,,
FRODO,"['think', 'get', 'road']",,,,,,,,,
SAM,"['oh', 'frodo', 'mr', 'frodo', 'wake', 'leav', 'alon', 'go', 'follow', 'wake', 'asleep', 'dead']",,,,,,,,,
SAM,"['gone', 'hey', 'gollum']",,,,,,,,,
BILBO,"['oh', 'well', 'sight', 'never', 'seen']",,,,,,,,,
FRODO,"['know', 'bilbo', 'got', 'whole', 'place', 'uproar']",,,,,,,,,
THEODEN,"['readi', 'gaml', 'bring', 'hors']",,,,,,,,,
SAM,"['miser', 'littl', 'maggot', 'stove', 'head']",,,,,,,,,
PIPPIN,['merri'],,,,,,,,,
CAPTAIN,"['get', 'back', 'line', 'maggot', 'get', 'back', 'line', 'slug']",,,,,,,,,
FARAMIR,[],,,,,,,,,
GANDALF,"['prepar', 'battl', 'hurri', 'men', 'wall', 'defend', 'wall', 'return', 'post']",,,,,,,,,
GOLLUM,"['give', 'us', 'deagol', 'love']",,,,,,,,,
GOLLUM,"['oh', 'yes', 'could', 'spoil', 'nice', 'fish', 'give', 'us', 'raw', 'wriggl', 'keep', 'nasti', 'chip']",,,,,,,,,
BILBO,"['sorri', 'brought', 'upon', 'boy', 'sorri', 'must', 'carri', 'burden', 'sorri', 'everyth']",,,,,,,,,
GIMLI,"['never', 'trust', 'elf']",,,,,,,,,
SARUMAN,"['gandalf', 'white', 'gandalf', 'fool', 'seek', 'humbl', 'mewith', 'newfound', 'pieti']",,,,,,,,,
GANDALF,"['look', 'back', 'mordor', 'hope', 'lie', 'two', 'littl', 'hobbit']",,,,,,,,,
THEODEN,['death'],,,,,,,,,
FRODO,"['none', 'left', 'return', 'journey']",,,,,,,,,
PIPPIN,"['seen', 'frodo', 'sam']",,,,,,,,,
SAM,"['samwis', 'brave']",,,,,,,,,
FRODO,"['oh', 'sam', 'sorri', 'sorri', 'everyth']",,,,,,,,,
GOLLUM,"['master', 'catch', 'catch', 'take', 'want', 'precious', 'alway', 'look', 'precious', 'wantingto', 'go', 'back', 'let']",,,,,,,,,
GOLLUM,['aagh'],,,,,,,,,
SAM,[],,,,,,,,,
GANDALF,"['mel', 'lon']",,,,,,,,,
GANDALF,"['piti', 'piti', 'stay', 'bilbo', 'hand', 'mani', 'live', 'deserv', 'death', 'mani', 'die', 'deserv', 'life', 'give', 'frodo', 'eager', 'deal', 'death', 'judgement', 'even', 'wise', 'cannot', 'see', 'end', 'heart', 'tell', 'gollum', 'part', 'play', 'yet', 'good', 'ill', 'piti', 'bilbo', 'may', 'rule', 'fate', 'mani']",,,,,,,,,
THEODEN,"['know', 'face', 'eowyn', 'eowyn', 'gandalf']",,,,,,,,,
GANDALF,"['amon', 'n']",,,,,,,,,
SAM,"['save', 'mr', 'frodo']",,,,,,,,,
ARWEN,"['gwenwin', 'enninath', 'u', 'arnech', 'naeth', 'si', 'celich', 'renech', 'beth', 'pennen']",,,,,,,,,
DENETHOR,"['rohan', 'desert', 'us']",,,,,,,,,
GOTHMOG,"['age', 'men', 'time', 'orc', 'come']",,,,,,,,,
BILBO,"['tea', 'mayb', 'someth', 'littl', 'stronger', 'got', 'bottl', 'old', 'winyard', 'left', '1296', 'good', 'year', 'almost', 'old']",,,,,,,,,
MERRY,"['pippin', 'everyon', 'know', 'tall', 'one', 'short', 'one']",,,,,,,,,
FARAMIR,"['skulk', 'friend', 'gangrel', 'creatur', 'ill', 'favor', 'look']",,,,,,,,,
FRODO,"['began', 'forg', 'great', 'ring']",,,,,,,,,
MERRY,"['tree', 'herder', 'shepherd', 'forest']",,,,,,,,,
SAM,['mean'],,,,,,,,,
MERRY,"['know', 'strider', 'friend', 'gandalf']",,,,,,,,,
FRODO,"['wait', 'creatur', 'bound', 'guid', 'pleas', 'iet', 'go']",,,,,,,,,
SANDYMAN,"['well', 'none', 'concern', 'goe', 'beyond', 'border', 'keep', 'nose', 'troubl', 'troubl', 'come']",,,,,,,,,
MERRY,"['welcom', 'lord', 'isengard']",,,,,,,,,
SAM,"['strider', 'help', 'strider']",,,,,,,,,
EOWYN,"['son', 'bad', 'wound', 'lord']",,,,,,,,,
DENETHOR,"['think', 'wise', 'mithrandir', 'yet', 'subtleti', 'wisdom', 'think', 'eye', 'white', 'tower', 'blind', 'seen', 'know', 'left', 'hand', 'would', 'use', 'shield', 'mordor', 'right', 'would', 'seek', 'supplant', 'know', 'ride', 'theoden', 'rohan', 'oh', 'yes', 'word', 'reach', 'ear', 'aragorn', 'son', 'arathorn', 'tell', 'bow', 'ranger', 'north', 'last', 'rag', 'hous', 'long', 'bereft', 'lordship']",,,,,,,,,
FARAMIR,"['damp', 'first', 'spring', 'rain']",,,,,,,,,
ARAGORN,"['night', 'chang', 'mani', 'thought', 'sleep', 'eowyn', 'sleep']",,,,,,,,,
GIMLI,"['true', 'seemani', 'dwarf', 'women', 'fact', 'alikein', 'voic', 'appear', 'often', 'mistakenfor', 'dwarf', 'men']",,,,,,,,,
SAM,"['kingsfoil', 'aye', 'weed']",,,,,,,,,
GIMLI,['oh'],,,,,,,,,
EOWYN,[],,,,,,,,,
ARAGORN,['way'],,,,,,,,,
HOBBIT,"['good', 'night', 'sweet', 'maiden', 'golden', 'ale']",,,,,,,,,
FRODO,['oooohhh'],,,,,,,,,
EOWYN,"['west', 'aragorn', 'hal']",,,,,,,,,
BILBO,"['hello', 'hello', 'fatti', 'bolger', 'love', 'see', 'welcom', 'welcom']",,,,,,,,,
ARAGORN,"['one', 'allegi']",,,,,,,,,
SAM,"['lie', 'rat']",,,,,,,,,
GOTHMOG,['quiet'],,,,,,,,,
PIPPIN,['time'],,,,,,,,,
SAM,"['oh', 'hungri', 'leastway', 'lemba', 'bread']",,,,,,,,,
THEODEN,"['conjur', 'saruman']",,,,,,,,,
ARAGORN,"['daughter', 'king', 'shieldmaiden', 'rohan', 'think', 'would', 'fate']",,,,,,,,,
GANDALF,"['courtesi', 'hall', 'somewhat', 'lessen', 'late', 'theoden', 'king']",,,,,,,,,
GIMLI,"['guess', 'conclud', 'negoti']",,,,,,,,,
ARWEN,"['time', 'come', 'face', 'evil', 'defeat', 'si', 'dh', 'ath', 'orthor', 'aragorn', 'le', 'nin']",,,,,,,,,
ARAGORN,"['idl', 'leav', 'lorien', 'fall']",,,,,,,,,
PIPPIN,['lord'],,,,,,,,,
FARAMIR,"['frodo', 'say', 'dark', 'terror', 'dwell', 'pass', 'mina', 'morgul', 'cannot', 'go', 'way']",,,,,,,,,
PIPPIN,"['lose', 'think', 'lost']",,,,,,,,,
THEODEN,"['grima', 'grima', 'grima']",,,,,,,,,
EOWYN,"['merri', 'left', 'behind', 'much', 'caus', 'go', 'war', 'fight', 'love']",,,,,,,,,
GENERAL,"['oy', 'gut', 'shut', 'rabbl']",,,,,,,,,
GOLLUM,"['wraith', 'wraith', 'wing', 'call', 'call', 'precious']",,,,,,,,,
SAM,['destroy'],,,,,,,,,
GANDALF,"['losto', 'caradhra', 'sedho', 'hodo', 'nuitho', 'ruith']",,,,,,,,,
THEODEN,"['must', 'lead', 'peopleto', 'helm', 'deep', 'make', 'hast']",,,,,,,,,
SAM,"['get', 'past']",,,,,,,,,
GANDALF,['quick'],,,,,,,,,
ARAGORN,"['still', 'hope', 'frodo', 'need', 'time', 'safe', 'passag', 'across', 'plain', 'gorgoroth', 'give']",,,,,,,,,
MERRY,"['oh', 'think', 'broken', 'someth']",,,,,,,,,
PEOPLE,"['last', 'helm', 'deepther', 'helm', 'deep', 'safe']",,,,,,,,,
BOROMIR,"['get', 'get']",,,,,,,,,
GIMLI,"['suppos', 'think', 'one']",,,,,,,,,
LEGOLAS,"['tree', 'speak']",,,,,,,,,
GANDALF,['come'],,,,,,,,,
GANDALF,"['tea', 'thank']",,,,,,,,,
GANDALF,"['hold', 'hand', 'frodo', 'quit', 'cool', 'see', 'see', 'anyth']",,,,,,,,,
SOLDIER,"['good', 'sir']",,,,,,,,,
BILBO,['gandalf'],,,,,,,,,
GOLLUM,"['swear', 'serv', 'master', 'precious', 'swear', 'preciousgollum', 'gollum']",,,,,,,,,
SAURON,"['quiet', 'hopeless', 'everi', 'orc', 'mordor', 'sgo', 'hear', 'racket', 'let', 'tie', 'leav']",,,,,,,,,
ARAGORN,"['blood', 'flow', 'vein', 'weak']",,,,,,,,,
ELROND,"['ring', 'cannot', 'destroy', 'gim', 'son', 'gloin', 'craft', 'possess', 'ring', 'made', 'fire', 'mount', 'doom', 'unmad', 'must', 'taken', 'deep', 'mordor', 'cast', 'back', 'firey', 'chasm', 'whenc', 'came', 'one', 'must']",,,,,,,,,
MERRY,['aragorn'],,,,,,,,,
SAM,"['need', 'good', 'tater']",,,,,,,,,
FRODO,['strider'],,,,,,,,,
SOLDIER,"['doubl', 'men']",,,,,,,,,
PIPPIN,['go'],,,,,,,,,
GANDALF,"['hobbit', 'peregrin', 'took', 'worst', 'hurri', 'hurri']",,,,,,,,,
MORWEN,"['quick', 'go', 'child']",,,,,,,,,
ARAGORN,"['shadow', 'thought', 'love', 'cannot', 'give', 'seek']",,,,,,,,,
SAM,"['gonna', 'follow', 'us', 'heremr', 'frodo', 'shame', 'realli', 'ladi', 'galadriel', 'gave', 'real', 'elvish', 'rope', 'well', 'noth', 'one', 'knot', 'come', 'free', 'hurri']",,,,,,,,,
SAM,"['oi', 'mind', 'sweet', 'talk']",,,,,,,,,
FRODO,"['aiya', 'e', 'rendil', 'elenion', 'ancalim']",,,,,,,,,
SAM,"['backl', 'devil']",,,,,,,,,
GOLLUM,"['stupid', 'fat', 'hobbit', 'ruin']",,,,,,,,,
PIPPIN,['act'],,,,,,,,,
THEODEN,"['six', 'thousand', 'spear', 'less', 'half', 'hope']",,,,,,,,,
STRIDER,['wild'],,,,,,,,,
FRODO,"['escap', 'dungeon', 'barad', 'r']",,,,,,,,,
THEODEN,['must'],,,,,,,,,
THEODEN,['retreat'],,,,,,,,,
SAM,"['make', 'sick', 'behav', 'like', 'one', 'way', 'eata', 'brace', 'coney']",,,,,,,,,
PIPPIN,"['think', 'peregrin', 'took', 'servic', 'hobbit', 'offer', 'great', 'lord', 'men']",,,,,,,,,
SAM,"['come', 'keep']",,,,,,,,,
ARAGORN,"['frodo', 'take', 'cover']",,,,,,,,,
FARAMIR,"['saruman', 'attack', 'lsengard', 'sauron', 'mordor', 'fight', 'come', 'men', 'front', 'gondor', 'weak', 'sauron', 'strike', 'us', 'soon', 'strike', 'hard', 'know', 'strength', 'repel']",,,,,,,,,
FRODO,"['linger', 'long', 'come', 'sam']",,,,,,,,,
GIMLI,['wait'],,,,,,,,,
MERRY,"['belt', 'run']",,,,,,,,,
SAM,"['get', 'go', 'go', 'use', 'ring', 'mr', 'frodo', 'put', 'disappear']",,,,,,,,,
FRODO,"['smeagol', 'master', 'come', 'smeagol', 'trust', 'master', 'come']",,,,,,,,,
ARAGORN,"['think', 'best', 'peopl', 'helm', 'deep', 'save', 'past']",,,,,,,,,
GANDALF,"['oh', 'realli']",,,,,,,,,
GANDALF,"['strong', 'life', 'spirit', 'find', 'way', 'hall', 'father', 'westu', 'h', 'l', 'fer', 'u', 'th', 'odr', 'fer', 'u']",,,,,,,,,
GANDALF,"['read', 'door', 'durin', 'lord', 'moria', 'speak', 'friend', 'enter']",,,,,,,,,
STRIDER,['alreadi'],,,,,,,,,
SAM,"['look', 'strang', 'familiar']",,,,,,,,,
ORC,"['late', 'usual', 'pirat', 'scum', 'knifework', 'need', 'come', 'sea', 'rat', 'get', 'ship']",,,,,,,,,
ARWEN,"['ae', 'esteliach', 'nad', 'estelio', 'han', 'estelio', 'ammen']",,,,,,,,,
SAM,"['hey', 'tunnel', 'listen', 'listen', 'good', 'proper', 'anyth', 'happen', 'answer', 'one', 'sniff', 'someth', 'right', 'one', 'hair', 'stand', 'back', 'neck', 'slinker', 'stinker', 'gone', 'got', 'watch']",,,,,,,,,
SOLDIER,"['could', 'save', 'ladi']",,,,,,,,,
ORC,"['door', 'wont', 'give', 'strong']",,,,,,,,,
LADY,"['safe', 'ladi', 'thank']",,,,,,,,,
GIMLI,"['could', 'pick', 'better', 'spot']",,,,,,,,,
FARAMIR,"['well', 'spi']",,,,,,,,,
UGLUK,['smell'],,,,,,,,,
FARAMIR,"['travel', 'land', 'servant', 'dark', 'tower']",,,,,,,,,
GOLLUM,"['good', 'smeagol', 'alway', 'help']",,,,,,,,,
GANDALF,"['turn', 'vain', 'ambit', 'would', 'use', 'even', 'grief', 'cloak', 'thousand', 'year', 'citi', 'stood', 'whim', 'madman', 'fall', 'white', 'tree', 'tree', 'king', 'never', 'bloom']",,,,,,,,,
SAM,['oh'],,,,,,,,,
ELROND,"['noth', 'certain']",,,,,,,,,
ELROND,"['look', 'futur', 'saw', 'death']",,,,,,,,,
GOLLUM,"['dead', 'cannot', 'kill']",,,,,,,,,
SARUMAN,"['life', 'shire', 'goe', 'much', 'past', 'age', 'full', 'come', 'go', 'chang', 'come', 'slowli', 'come', 'thing', 'made', 'endur', 'shire', 'pass', 'one', 'generat', 'next', 'alway', 'baggin', 'live', 'hill', 'bag', 'end']",,,,,,,,,
STRIDER,"['gentlemen', 'stop', 'til', 'nightfal']",,,,,,,,,
BILBO,['ring'],,,,,,,,,
MERRY,"['big', 'one', 'big', 'one']",,,,,,,,,
PIPPIN,['merri'],,,,,,,,,
PIPPIN,['yes'],,,,,,,,,
UGLUK,"['get', 'back', 'scum', 'prison', 'go', 'saruman', 'aliv', 'unspoil']",,,,,,,,,
GOLLUM,"['yes', 'precious', 'fals', 'cheat', 'hurt', 'lie']",,,,,,,,,
MERRY,"['tree', 'could', 'whisper', 'talk', 'even', 'move']",,,,,,,,,
GOLLUM,"['curs', 'us']",,,,,,,,,
HALDIR,"['aragorn', 'nedain', 'istannen', 'le', 'ammen']",,,,,,,,,
FRODO,"['name', 'long', 'time', 'ago']",,,,,,,,,
BOROMIR,"['exagger', 'victori', 'belong', 'faramir', 'also']",,,,,,,,,
TREEBEARD,"['hit', 'fine', 'hit']",,,,,,,,,
ARAGORN,"['havo', 'dad', 'legola']",,,,,,,,,
EOWYN,['man'],,,,,,,,,
THEODEN,['mani'],,,,,,,,,
DENETHOR,"['hous', 'steward', 'fail']",,,,,,,,,
FRODO,"['differentfrom', 'hobbit', 'smeagol']",,,,,,,,,
SHAGRAT,"['get', 'back', 'scum']",,,,,,,,,
GOLLUM,"['oh', 'cruel', 'hobbit', 'care', 'hungri', 'care', 'die', 'like', 'master', 'master', 'care', 'master', 'know', 'yes', 'precious', 'take', 'hold', 'us', 'never', 'let', 'go']",,,,,,,,,
GANDALF,['look'],,,,,,,,,
GOLLUM,"['cool', 'nice', 'feet', 'wish', 'catch', 'fish', 'juici', 'sweet']",,,,,,,,,
MERRY,"['fine', 'lt', 'act']",,,,,,,,,
ARAGORN,['believ'],,,,,,,,,
ARAGORN,"['rider', 'rohan', 'news', 'mark']",,,,,,,,,
GANDALF,"['tea', 'thank']",,,,,,,,,
TREEBEARD,"['side', 'nobodi', 'side', 'nobodi', 'sidelittl', 'orc', 'nobodi', 'care', 'wood', 'anymor']",,,,,,,,,
PIPPIN,"['see', 'soon']",,,,,,,,,
FRODO,"['betray', 'isildur', 'death', 'thing', 'forgotten', 'lost', 'histori', 'becam', 'legend', 'legend', 'becam', 'myth', 'two', 'half', 'thousand', 'year', 'ring', 'pass', 'knowledg', 'chanc', 'came', 'ensnar', 'new', 'bearer']",,,,,,,,,
GAMLING,"['need', 'time', 'lay', 'provis']",,,,,,,,,
GOLLUM,"['yes', 'could']",,,,,,,,,
THEODEN,"['much', 'death', 'men', 'reckless', 'hate']",,,,,,,,,
ARAGORN,"['legola', 'fire', 'warn', 'shot', 'past', 'boson', 'ear']",,,,,,,,,
BILBO,"['good', 'gracious', 'product']",,,,,,,,,
KING OF THE DEAD,"['way', 'shut', 'made', 'dead', 'dead', 'keep', 'ghost', 'armi', 'close', 'around', 'way', 'shut', 'must', 'die']",,,,,,,,,
EOWYN,"['cage', 'stay', 'behind', 'bar', 'useand', 'old', 'age', 'accept', 'chanc', 'valor', 'gonebeyond', 'recal', 'desir']",,,,,,,,,
GRIMA,['welcom'],,,,,,,,,
URUK HAI,"['keep', 'mouth', 'shut']",,,,,,,,,
EOWYN,"['name', 'brego', 'cousin', 'hors']",,,,,,,,,
PIPPIN,"['get', 'hasti']",,,,,,,,,
GANDALF,"['go', 'back', 'abyss', 'fall', 'nothing', 'await', 'master']",,,,,,,,,
FRODO,"['dark', 'still']",,,,,,,,,
ARAGORN,"['mortal', 'elf', 'kind', 'dream', 'arwen', 'noth']",,,,,,,,,
MERRY,['close'],,,,,,,,,
DENETHOR,"['ever', 'desir', 'appear', 'lord', 'gracious', 'king', 'old', 'boromir', 'would', 'rememb', 'father', 'need', 'would', 'brought', 'king', 'gift']",,,,,,,,,
ARWEN,"['fear', 'past', 'isildur', 'heir', 'isildur', 'bound', 'fate']",,,,,,,,,
TREEBEARD,"['bru', 'ra', 'hroom', 'entingsfor', 'terribl', 'long', 'count', 'year']",,,,,,,,,
SAM,['highest'],,,,,,,,,
DENETHOR,"['gondor', 'lost', 'hope', 'men', 'fool', 'fli', 'better', 'die', 'sooner', 'late', 'die', 'must']",,,,,,,,,
LEGOLAS,"['learnt', 'noth', 'stubborn', 'dwarv']",,,,,,,,,
SOLDIER,['watch'],,,,,,,,,
PIPPIN,['merri'],,,,,,,,,
GIMLI,"['hors', 'men', 'wish', 'could', 'muster', 'armi', 'dwarv', 'fulli', 'arm', 'filthi']",,,,,,,,,
GATEKEEPER,"['alright', 'young', 'sir', 'meant', 'offenc', 'job', 'ask', 'question', 'nightfal', 'talk', 'strang', 'folk', 'abroad', 'care']",,,,,,,,,
SAM,"['pleas', 'burden', 'help']",,,,,,,,,
MEN,['oh'],,,,,,,,,
EOWYN,['rest'],,,,,,,,,
GORBAG,"['take', 'order', 'stink', 'morgul', 'rat']",,,,,,,,,
GAMLING,['lord'],,,,,,,,,
PIPPIN,"['wait', 'stop', 'stop', 'turn', 'around', 'turn', 'around', 'take', 'us', 'south']",,,,,,,,,
GANDALF,"['old', 'rascal', 'hear', 'go', 'parti', 'special', 'signific']",,,,,,,,,
SAM,"['get', 'nobodi', 'push', 'filthi', 'maggot', 'get']",,,,,,,,,
LEGOLAS,"['one', 'meara', 'unless', 'eye', 'cheatedbi', 'spell']",,,,,,,,,
THEODEN,"['welcom', 'gandalf', 'stormcrow']",,,,,,,,,
FRODO,['left'],,,,,,,,,
ELROND,"['daughter', 'linger', 'darknessand', 'doubt', 'nightfal', 'winterthat', 'come', 'without', 'star', 'dwell', 'bound', 'griefund', 'fade', 'tree', 'world', 'chang', 'long', 'year', 'lifear', 'utter', 'spent']",,,,,,,,,
ARAGORN,"['long', 'need']",,,,,,,,,
SNAGA,"['yeah', 'meat', 'fresh']",,,,,,,,,
SOLDIER,"['300', 'fenmarch', 'theoden', 'king']",,,,,,,,,
DENETHOR,"['yield', 'river', 'pellenor', 'unfought', 'osgiliath', 'must', 'retaken']",,,,,,,,,
SAM,"['mean', 'leav']",,,,,,,,,
MERRY AND PIPPIN,[],,,,,,,,,
GANDALF,[],,,,,,,,,
ORC,"['move', 'slug']",,,,,,,,,
GANDALF,"['wealth', 'moria', 'gold', 'jewel', 'mithril']",,,,,,,,,
ARAGORN,"['give', 'frodo', 'chanc', 'keep', 'sauron', 'eye', 'fix', 'upon', 'us', 'keep', 'blind', 'els', 'move']",,,,,,,,,
FRODO,"['moment', 'isildur', 'son', 'king', 'took', 'father', 'sword']",,,,,,,,,
BOROMIR,"['cannot', 'stay', 'death', 'hobbit']",,,,,,,,,
THEODEN,"['rohan', 'mine']",,,,,,,,,
ARAGORN,"['dago', 'hon', 'dago', 'hon']",,,,,,,,,
MERRY,"['rememb', 'old', 'foreston', 'border', 'buckland', 'folk', 'use', 'say', 'someth', 'inth', 'water', 'made', 'tree', 'grow', 'tall', 'come', 'aliv']",,,,,,,,,
SAM,"['mr', 'frodo', 'frodo', 'frodo', 'thought', 'lost']",,,,,,,,,
THEODEN,"['littl', 'hobbit', 'belong', 'war', 'master', 'meriadoc']",,,,,,,,,
PIPPIN,['lost'],,,,,,,,,
MERRY and PIPPIN,"['oh', 'search', 'far', 'wide', 'drink', 'whole', 'town', 'dri', 'never', 'find', 'beer', 'brown', 'never', 'find', 'beer', 'brown', 'one', 'drink', 'hometown', 'one', 'drink', 'hometown', 'drink', 'fanci', 'ale', 'drink', 'flagon', 'brew', 'brave', 'true']",,,,,,,,,
ARWEN,"['estelio', 'guru', 'l', 'n', 'ne', 'dagor', 'ethelithach']",,,,,,,,,
DENETHOR,"['releas', 'servic', 'go', 'die', 'way', 'seem', 'best']",,,,,,,,,
UGLUK,['eat'],,,,,,,,,
GIMLI,"['nooooo', 'noooooooooooooooooo']",,,,,,,,,
SAM,[],,,,,,,,,
BILBO,"['old', 'ring', 'well', 'much', 'like', 'hold', 'one', 'last', 'time']",,,,,,,,,
FARAMIR,"['yes', 'mine', 'father', 'made']",,,,,,,,,
EOMER,"['none', 'ventur', 'ever', 'return', 'mountain', 'evil']",,,,,,,,,
ARAGORN,"['nauthannem', 'ned', 'ol', 'reniannen']",,,,,,,,,
